BRANCH_ID|BRANCH_NAME|NO_KONTRAK|NAMA_CUSTOMER|ANG_KE|OVERDUE|NILAI_PEMBAYARAN|NILAI_ANGSURAN|NILAI_DENDA|TANGGAL_PEMBAYARAN|JAM_PEMBAYARAN|TANGGAL_PEMBUKUAN|PAYMENT_SOURCE|VALDO_CC|FIN_TYPE
0310||031014107941||19|0|556000|556000|0|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015102065||11|1|1498000|1366000|132000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015104181||9|1|593000|590000|3000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015104247||9|3|490000|485000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015105366||8|1|585000|580000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015107045||7|2|248460|246000|2460|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015109371||5|5|799000|779000|20000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015109480||5|1|1025000|1025000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0310||031013110198||30|2|451000|447000|4000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014117461||13|2|250000|245000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031014200236||20|0|2424000|2424000|0|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031014115279||14|2|530000|525000|5000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015104335||8|3|1310000|1310000|0|2016-01-26|00:00:00|2016-01-25|KASIR|02|
0310||031015105038||8|5|580000|566000|14000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015110439||4|3|700000|690000|10000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015111505||3|5|598000|583000|15000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015113818||1|0|794000|794000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031013110272||30|1|505000|500000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031014100589||24|3|513994|494994|19000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031013410237||30|3|562000|557000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031014104999||21|1|425000|425000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0310||031014106424||20|0|524000|519000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031014111203||17|3|500000|500000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0310||031014116658||13|2|599000|593000|6000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015101608||11|6|400000|400000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0310||031015100557||12|0|700000|700000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015108482||6|1|391950|390000|1950|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015109021||5|2|338000|338000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0310||031015109590||5|2|575840|571000|4840|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015109182||5|0|570000|570000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015110505||4|0|379890|378000|1890|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015111304||3|7|880000|850000|30000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031013114485||27|3|583000|574000|9000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014115746||14|2|470000|466000|4000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014115819||14|1|237000|232000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031014116815||13|5|550000|537000|13000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015105414||8|1|514400|510000|4400|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015107779||6|2|640000|640000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0310||031015109066||5|0|664000|664000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
